t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right
0.01003957,0,0,0,0,0,0.5,0,0,0,0
0.03003955,0,0,0.009999996,0,0,0.5,0,0,0,0
0.05003953,0,0,0.01999999,0,0,0.5,0,0,0,0
0.07003951,0,0,0.02999999,0,0,0.5,0,0,0,0
0.09003949,0,0,0.03999998,0,0,0.5,0,0,0,0
0.1100396,0,0,0.04999998,0,0,0.5,0,0,0,0
0.1300396,0,0,0.05999998,0,0,0.5,0,0,0,0
0.1500396,0,0,0.06999998,0,0,0.5,0,0,0,0
0.1700395,0,0,0.07999998,0,0,0.5,0,0,0,0
0.1900395,0,0,0.08999997,0,0,0.5,0,0,0,0
0.2100395,0,0,0.09999997,0,0,0.5,0,0,0,0
0.2300395,0,0,0.11,0,0,0.5,0,0,0,0
0.2500395,0,0,0.12,0,0,0.5,0,0,0,0
0.2700394,0,0,0.13,0,0,0.5,0,0,0,0
0.2900394,0,0,0.14,0,0,0.5,0,0,0,0
0.3100395,0,0,0.1499999,0,0,0.5,0,0,0,0
0.3300395,0,0,0.1599999,0,0,0.5,0,0,0,0
0.3500395,0,0,0.1699999,0,0,0.5,0,0,0,0
0.3700395,0,0,0.1799999,0,0,0.5,0,0,0,0
0.3900394,0,0,0.1899999,0,0,0.5,0,0,0,0
0.4100394,0,0,0.1999999,0,0,0.5,0,0,0,0
0.4300394,0,0,0.2099999,0,0,0.5,0,0,0,0
0.4500394,0,0,0.2199999,0,0,0.5,0,0,0,0
0.4700394,0,0,0.2299999,0,0,0.5,0,0,0,0
0.4900393,0,0,0.2399999,0,0,0.5,0,0,0,0
0.5100394,0,0,0.2499999,0,0,0.5,0,0,0,0
0.5300394,0,0,0.2599998,0,0,0.5,0,0,0,0
0.5500394,0,0,0.2699998,0,0,0.5,0,0,0,0
0.5700394,0,0,0.2799998,0,0,0.5,0,0,0,0
0.5900394,0,0,0.2899998,0,0,0.5,0,0,0,0
0.6100394,0,0,0.2999998,0,0,0.5,0,0,0,0
0.6300393,0,0,0.3099998,0,0,0.5,0,0,0,0
0.6500393,0,0,0.3199998,0,0,0.5,0,0,0,0
0.6700393,0,0,0.3299998,0,0,0.5,0,0,0,0
0.6900393,0,0,0.3399998,0,0,0.5,0,0,0,0
0.7100394,0,0,0.3499998,0,0,0.5,0,0,0,0
0.7300394,0,0,0.3599997,0,0,0.5,0,0,0,0
0.7500393,0,0,0.3699997,0,0,0.5,0,0,0,0
0.7700393,0,0,0.3799997,0,0,0.5,0,0,0,0
0.7900393,0,0,0.3899997,0,0,0.5,0,0,0,0
0.8100393,0,0,0.3999997,0,0,0.5,0,0,0,0
0.8300393,0,0,0.4099997,0,0,0.5,0,0,0,0
0.8500392,0,0,0.4199997,0,0,0.5,0,0,0,0
0.8700392,0,0,0.4299997,0,0,0.5,0,0,0,0
0.8900392,0,0,0.4399997,0,0,0.5,0,0,0,0
0.9100392,0,0,0.4499997,0,0,0.5,0,0,0,0
0.9300392,0,0,0.4599997,0,0,0.5,0,0,0.009999648,0.09999648
0.9500391,0,0,0.4698997,0,0,0.4950002,0,0,0.01989965,0.1989965
0.9700391,0,0,0.4796007,0,0,0.4850504,0,0,0.02960066,0.2960066
0.9900391,0,0,0.4890057,0,0,0.47025,0,0,0.03900565,0.3900565
1.010039,0,0,0.4980206,0,0,0.4507472,0,0,0.04802059,0.4802059
1.030039,0,0,0.5065553,0,0,0.4267369,0,0,0.05655532,0.5655532
1.050039,0,0,0.5145245,0,0,0.3984593,0,0,0.06452452,0.6452452
1.070039,0,0,0.5218484,0,0,0.366197,0,0,0.07184844,0.7184844
1.090039,0,0,0.5284539,0,0,0.3302729,0,0,0.07845388,0.7845389
1.110039,0,0,0.5342748,0,0,0.2910459,0,0,0.08427481,0.8427482
1.130039,0,0,0.539253,0,0,0.2489085,0,0,0.08925299,0.89253
1.150039,0,0,0.5433387,0,0,0.2042821,0,0,0.09333865,0.9333866
1.170039,0,0,0.5464909,0,0,0.1576128,0,0,0.0964909,0.9649091
1.190039,0,0,0.5486783,0,0,0.1093673,0,0,0.09867828,0.9867828
1.210039,0,0,0.5498788,0,0,0.06002822,0,0,0.09987883,0.9987884
1.230039,0,0,0.5500806,0,0,0.01008882,0,0,0.1000806,1.000806
1.250039,0,0,0.5492816,0,0,-0.03995146,0,0,0.09928159,0.992816
1.270039,0,0,0.5474898,0,0,-0.08959223,0,0,0.09748976,0.9748976
1.290039,0,0,0.544723,0,0,-0.1383371,0,0,0.09472303,0.9472303
1.310039,0,0,0.5410091,0,0,-0.1856986,0,0,0.09100907,0.9100907
1.330039,0,0,0.536385,0,0,-0.2312031,0,0,0.086385,0.86385
1.350039,0,0,0.5308971,0,0,-0.2743956,0,0,0.08089708,0.8089708
1.370039,0,0,0.5246002,0,0,-0.3148441,0,0,0.0746002,0.7460021
1.390039,0,0,0.5175573,0,0,-0.3521442,0,0,0.06755732,0.6755732
1.410039,0,0,0.5098389,0,0,-0.3859228,0,0,0.05983888,0.5983888
1.430039,0,0,0.5015221,0,0,-0.4158422,0,0,0.05152206,0.5152206
1.450039,0,0,0.49269,0,0,-0.4416032,0,0,0.04268999,0.4268999
1.470039,0,0,0.483431,0,0,-0.4629482,0,0,0.03343104,0.3343104
1.490039,0,0,0.4738378,0,0,-0.4796638,0,0,0.02383776,0.2383776
1.510039,0,0,0.4640061,0,0,-0.4915826,0,0,0.01400612,0.1400612
1.530039,0,0,0.4540344,0,0,-0.4985857,0,0,0.004034415,0.04034415
1.550039,0,0,0.4440224,0,0,-0.5006029,0,0,0,0
1.570039,0,0,0.4340103,0,0,-0.5006029,0,0,0,0
1.590039,0,0,0.4239982,0,0,-0.5006029,0,0,0,0
1.610039,0,0,0.4139862,0,0,-0.5006029,0,0,0,0
1.630039,0,0,0.4039741,0,0,-0.5006029,0,0,0,0
1.650039,0,0,0.3939621,0,0,-0.5006029,0,0,0,0
1.670039,0,0,0.38395,0,0,-0.5006029,0,0,0,0
1.690039,0,0,0.3739379,0,0,-0.5006029,0,0,0,0
1.710039,0,0,0.3639259,0,0,-0.5006029,0,0,0,0
1.730039,0,0,0.3539138,0,0,-0.5006029,0,0,0,0
1.750039,0,0,0.3439018,0,0,-0.5006029,0,0,0,0
1.770039,0,0,0.3338897,0,0,-0.5006029,0,0,0,0
1.790039,0,0,0.3238776,0,0,-0.5006029,0,0,0,0
1.810039,0,0,0.3138656,0,0,-0.5006029,0,0,0,0
1.830039,0,0,0.3038535,0,0,-0.5006029,0,0,0,0
1.850039,0,0,0.2938415,0,0,-0.5006029,0,0,0,0
1.870039,0,0,0.2838294,0,0,-0.5006029,0,0,0,0
1.890039,0,0,0.2738173,0,0,-0.5006029,0,0,0,0
1.910039,0,0,0.2638053,0,0,-0.5006029,0,0,0,0
1.930039,0,0,0.2537932,0,0,-0.5006029,0,0,0,0
1.950039,0,0,0.2437811,0,0,-0.5006029,0,0,0,0
1.970039,0,0,0.2337691,0,0,-0.5006029,0,0,0,0
1.990039,0,0,0.223757,0,0,-0.5006029,0,0,0,0
2.010039,0,0,0.213745,0,0,-0.5006029,0,0,0,0
2.030039,0,0,0.2037329,0,0,-0.5006029,0,0,0,0
2.050039,0,0,0.1937208,0,0,-0.5006029,0,0,0,0
2.070039,0,0,0.1837088,0,0,-0.5006029,0,0,0,0
2.090039,0,0,0.1736967,0,0,-0.5006029,0,0,0,0
2.110039,0,0,0.1636847,0,0,-0.5006029,0,0,0,0
2.130039,0,0,0.1536726,0,0,-0.5006029,0,0,0,0
2.150039,0,0,0.1436605,0,0,-0.5006029,0,0,0,0
2.170039,0,0,0.1336485,0,0,-0.5006029,0,0,0,0
2.190039,0,0,0.1236364,0,0,-0.5006029,0,0,0,0
2.210039,0,0,0.1136244,0,0,-0.5006029,0,0,0,0
2.230039,0,0,0.1036123,0,0,-0.5006029,0,0,0,0
2.250039,0,0,0.09360027,0,0,-0.5006029,0,0,0,0
2.270039,0,0,0.08358822,0,0,-0.5006029,0,0,0,0
2.290039,0,0,0.07357617,0,0,-0.5006029,0,0,0,0
2.310039,0,0,0.06356411,0,0,-0.5006029,0,0,0,0
2.330039,0,0,0.05355206,0,0,-0.5006029,0,0,0,0
2.350039,0,0,0.04354001,0,0,-0.5006029,0,0,0,0
2.370039,0,0,0.03352796,0,0,-0.5006029,0,0,0,0
2.390039,0,0,0.0235159,0,0,-0.5006029,0,0,0,0
2.410039,0,0,0.01350385,0,0,-0.5006029,0,0,0,0
2.430039,0,0,0.003491795,0,0,-0.5006029,0,0,0,0
2.450039,0,0,-0.006520259,0,0,-0.5006029,0,0,0,0
2.470039,0,0,-0.01653231,0,0,-0.5006029,0,0,0,0
2.490039,0,0,-0.02654437,0,0,-0.5006029,0,0,0,0
2.510039,0,0,-0.03655642,0,0,-0.5006029,0,0,0,0
2.530039,0,0,-0.04656847,0,0,-0.5006029,0,0,0,0
2.550039,0,0,-0.05658052,0,0,-0.5006029,0,0,0,0
2.570039,0,0,-0.06659258,0,0,-0.5006029,0,0,0,0
2.590039,0,0,-0.07660463,0,0,-0.5006029,0,0,0,0
2.610039,0,0,-0.08661669,0,0,-0.5006029,0,0,0,0
2.630039,0,0,-0.09662874,0,0,-0.5006029,0,0,0,0
2.650039,0,0,-0.1066408,0,0,-0.5006029,0,0,0,0
2.670039,0,0,-0.1166528,0,0,-0.5006029,0,0,0,0
2.690039,0,0,-0.1266649,0,0,-0.5006029,0,0,0,0
2.710039,0,0,-0.136677,0,0,-0.5006029,0,0,0,0
2.730039,0,0,-0.146689,0,0,-0.5006029,0,0,0,0
2.750039,0,0,-0.1567011,0,0,-0.5006029,0,0,0,0
2.770039,0,0,-0.1667131,0,0,-0.5006029,0,0,0,0
2.790039,0,0,-0.1767252,0,0,-0.5006029,0,0,0,0
2.810039,0,0,-0.1867373,0,0,-0.5006029,0,0,0,0
2.830039,0,0,-0.1967493,0,0,-0.5006029,0,0,0,0
2.850039,0,0,-0.2067614,0,0,-0.5006029,0,0,0,0
2.870039,0,0,-0.2167735,0,0,-0.5006029,0,0,0,0
2.890038,0,0,-0.2267855,0,0,-0.5006029,0,0,0,0
2.910038,0,0,-0.2367976,0,0,-0.5006029,0,0,0,0
2.930038,0,0,-0.2468096,0,0,-0.5006029,0,0,0,0
2.950038,0,0,-0.2568217,0,0,-0.5006029,0,0,0,0
2.970038,0,0,-0.2668338,0,0,-0.5006029,0,0,0,0
2.990038,0,0,-0.2768458,0,0,-0.5006029,0,0,0,0
3.010038,0,0,-0.2868579,0,0,-0.5006029,0,0,0,0
3.030038,0,0,-0.2968699,0,0,-0.5006029,0,0,0,0
3.050038,0,0,-0.306882,0,0,-0.5006029,0,0,0,0
3.070038,0,0,-0.3168941,0,0,-0.5006029,0,0,0,0
3.090038,0,0,-0.3269061,0,0,-0.5006029,0,0,0,0
3.110038,0,0,-0.3369182,0,0,-0.5006029,0,0,0,0
3.130038,0,0,-0.3469302,0,0,-0.5006029,0,0,0,0
3.150038,0,0,-0.3569423,0,0,-0.5006029,0,0,0,0
3.170038,0,0,-0.3669544,0,0,-0.5006029,0,0,0,0
3.190039,0,0,-0.3769664,0,0,-0.5006029,0,0,0,0
3.210039,0,0,-0.3869785,0,0,-0.5006029,0,0,0,0
3.230039,0,0,-0.3969905,0,0,-0.5006029,0,0,0,0
3.250039,0,0,-0.4070026,0,0,-0.5006029,0,0,0,0
3.270039,0,0,-0.4170147,0,0,-0.5006029,0,0,0,0
3.290039,0,0,-0.4270267,0,0,-0.5006029,0,0,0,0
3.310039,0,0,-0.4370388,0,0,-0.5006029,0,0,0,0
3.330039,0,0,-0.4470508,0,0,-0.5006029,0,0,0,0
3.350039,0,0,-0.4570629,0,0,-0.5006029,0.007062897,0.07062897,0,0
3.370039,0,0,-0.4670043,0,0,-0.4970714,0.01700433,0.1700433,0,0
3.390038,0,0,-0.4767757,0,0,-0.4885693,0.0267757,0.267757,0,0
3.410038,0,0,-0.4862793,0,0,-0.4751814,0.03627934,0.3627934,0,0
3.430038,0,0,-0.4954202,0,0,-0.4570418,0.04542015,0.4542015,0,0
3.450038,0,0,-0.5041068,0,0,-0.4343317,0.05410676,0.5410676,0,0
