t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,angularVelocity_y, inertia_y
0.01078415,-0.25,0,0,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.03078461,-0.25,0,0.01999999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.05078506,-0.25,0,0.03999998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.07078552,-0.25,0,0.05999998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.09078407,-0.25,0,0.07999997,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.1107845,-0.25,0,0.09999996,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.130785,-0.25,0,0.12,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.1507854,-0.25,0,0.14,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.170784,-0.25,0,0.16,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.1907845,-0.25,0,0.1799999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.2107849,-0.25,0,0.1999999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.2307854,-0.25,0,0.2199999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.2507839,-0.25,0,0.2399999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.2707844,-0.25,0,0.2599999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.2907848,-0.25,0,0.2799999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.3107853,-0.25,0,0.2999999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.3307838,-0.25,0,0.3199999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.3507843,-0.25,0,0.3399999,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.3707848,-0.25,0,0.3599998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.3907852,-0.25,0,0.3799998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.4107838,-0.25,0,0.3999998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.4307842,-0.25,0,0.4199998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.4507847,-0.25,0,0.4399998,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.4707851,-0.25,0,0.4599997,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.4907837,-0.25,0,0.4799997,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
0.5107841,-0.25,0,0.4999997,0,0,1,0,0,0,0,-0.8,0,0, 0.0634
