t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right
7.450581E-09,0,0,0,0,0,5,0,0,0,0
0.001000008,0,0,0.005,0,0,5,0,0,0,0
0.002000008,0,0,0.01,0,0,5,0,0,0,0
0.003000008,0,0,0.015,0,0,5,0,0,0,0
0.004000008,0,0,0.02,0,0,5,0,0,0,0
0.005000008,0,0,0.025,0,0,5,0,0,0,0
0.006000008,0,0,0.03,0,0,5,0,0,0,0
0.007000009,0,0,0.035,0,0,5,0,0,0,0
0.008000009,0,0,0.04,0,0,5,0,0,0,0
0.009000007,0,0,0.045,0,0,5,0,0,0,0
0.01000001,0,0,0.05,0,0,5,0,0,0,0
0.01100001,0,0,0.055,0,0,5,0,0,0,0
0.01200001,0,0,0.06,0,0,5,0,0,0,0
0.01300001,0,0,0.065,0,0,5,0,0,0,0
0.01400001,0,0,0.07,0,0,5,0,0,0,0
0.01500001,0,0,0.075,0,0,5,0,0,0,0
0.01600001,0,0,0.08000001,0,0,5,0,0,0,0
0.01700001,0,0,0.08500001,0,0,5,0,0,0,0
0.01800001,0,0,0.09000001,0,0,5,0,0,0,0
0.01900001,0,0,0.09500001,0,0,5,0,0,0,0
0.02000001,0,0,0.1,0,0,5,0,0,0,0
0.02100001,0,0,0.105,0,0,5,0,0,0,0
0.02200001,0,0,0.11,0,0,5,0,0,0,0
0.02300001,0,0,0.115,0,0,5,0,0,0,0
0.02400001,0,0,0.12,0,0,5,0,0,0,0
0.02500001,0,0,0.125,0,0,5,0,0,0,0
0.02600001,0,0,0.13,0,0,5,0,0,0,0
0.02700001,0,0,0.135,0,0,5,0,0,0,0
0.02800001,0,0,0.14,0,0,5,0,0,0,0
0.02900001,0,0,0.145,0,0,5,0,0,0,0
0.03000001,0,0,0.15,0,0,5,0,0,0,0
0.03100001,0,0,0.155,0,0,5,0,0,0,0
0.03200001,0,0,0.16,0,0,5,0,0,0,0
0.03300001,0,0,0.165,0,0,5,0,0,0,0
0.03400001,0,0,0.17,0,0,5,0,0,0,0
0.03500001,0,0,0.175,0,0,5,0,0,0,0
0.03600001,0,0,0.18,0,0,5,0,0,0,0
0.03700001,0,0,0.185,0,0,5,0,0,0,0
0.03800001,0,0,0.19,0,0,5,0,0,0,0
0.03900001,0,0,0.195,0,0,5,0,0,0,0
0.04000001,0,0,0.2,0,0,5,0,0,0,0
0.04100001,0,0,0.205,0,0,5,0,0,0,0
0.04200001,0,0,0.2099999,0,0,5,0,0,0,0
0.04300001,0,0,0.2149999,0,0,5,0,0,0,0
0.04400001,0,0,0.2199999,0,0,5,0,0,0,0
0.04500001,0,0,0.2249999,0,0,5,0,0,0,0
0.04600001,0,0,0.2299999,0,0,5,0,0,0,0
0.04700001,0,0,0.2349999,0,0,5,0,0,0,0
0.04800001,0,0,0.2399999,0,0,5,0,0,0,0
0.04900001,0,0,0.2449999,0,0,5,0,0,0,0
0.05000001,0,0,0.2499999,0,0,5,0,0,0,0
0.05100001,0,0,0.2549999,0,0,5,0,0,0,0
0.052,0,0,0.2599999,0,0,5,0,0,0,0
0.05300001,0,0,0.2649999,0,0,5,0,0,0,0
0.05400001,0,0,0.2699999,0,0,5,0,0,0,0
0.05500001,0,0,0.2749999,0,0,5,0,0,0,0
0.05600001,0,0,0.2799999,0,0,5,0,0,0,0
0.05700001,0,0,0.2849999,0,0,5,0,0,0,0
0.05800001,0,0,0.2899999,0,0,5,0,0,0,0
0.05900001,0,0,0.2949999,0,0,5,0,0,0,0
0.06000001,0,0,0.2999999,0,0,5,0,0,0,0
0.06100001,0,0,0.3049999,0,0,5,0,0,0,0
0.06200001,0,0,0.3099999,0,0,5,0,0,0,0
0.06300001,0,0,0.3149998,0,0,5,0,0,0,0
0.06400001,0,0,0.3199998,0,0,5,0,0,0,0
0.06500001,0,0,0.3249998,0,0,5,0,0,0,0
0.06600001,0,0,0.3299998,0,0,5,0,0,0,0
0.067,0,0,0.3349998,0,0,5,0,0,0,0
0.068,0,0,0.3399998,0,0,5,0,0,0,0
0.06900001,0,0,0.3449998,0,0,5,0,0,0,0
0.07000001,0,0,0.3499998,0,0,5,0,0,0,0
0.07100001,0,0,0.3549998,0,0,5,0,0,0,0
0.07200001,0,0,0.3599998,0,0,5,0,0,0,0
0.07300001,0,0,0.3649998,0,0,5,0,0,0,0
0.074,0,0,0.3699998,0,0,5,0,0,0,0
0.075,0,0,0.3749998,0,0,5,0,0,0,0
0.07600001,0,0,0.3799998,0,0,5,0,0,0,0
0.07700001,0,0,0.3849998,0,0,5,0,0,0,0
0.07800001,0,0,0.3899998,0,0,5,0,0,0,0
0.07900001,0,0,0.3949998,0,0,5,0,0,0,0
0.08000001,0,0,0.3999998,0,0,5,0,0,0,0
0.08100002,0,0,0.4049998,0,0,5,0,0,0,0
0.082,0,0,0.4099998,0,0,5,0,0,0,0
0.083,0,0,0.4149998,0,0,5,0,0,0,0
0.08400001,0,0,0.4199997,0,0,5,0,0,0,0
0.08500001,0,0,0.4249997,0,0,5,0,0,0,0
0.08600001,0,0,0.4299997,0,0,5,0,0,0,0
0.08700001,0,0,0.4349997,0,0,5,0,0,0,0
0.08800001,0,0,0.4399997,0,0,5,0,0,0,0
0.089,0,0,0.4449997,0,0,5,0,0,0,0
0.09,0,0,0.4499997,0,0,5,0,0,0,0
0.09100001,0,0,0.4549997,0,0,5,0,0,0.004999712,2.499856
0.09200001,0,0,0.4599935,0,0,4.993751,0,0,0.009993449,4.996725
0.09300001,0,0,0.4649747,0,0,4.981259,0,0,0.0149747,7.487349
0.09400001,0,0,0.4699372,0,0,4.962541,0,0,0.01993723,9.968616
0.09500001,0,0,0.4748749,0,0,4.937619,0,0,0.02487485,12.43743
0.096,0,0,0.4797814,0,0,4.906526,0,0,0.02978139,14.89069
0.097,0,0,0.4846507,0,0,4.869299,0,0,0.0346507,17.32535
0.098,0,0,0.4894767,0,0,4.825985,0,0,0.03947668,19.73834
0.09900001,0,0,0.4942533,0,0,4.776639,0,0,0.0442533,22.12665
0.1,0,0,0.4989746,0,0,4.721323,0,0,0.04897462,24.48731
0.101,0,0,0.5036348,0,0,4.660105,0,0,0.05363475,26.81737
0.102,0,0,0.5082278,0,0,4.593061,0,0,0.05822782,29.11391
0.103,0,0,0.5127481,0,0,4.520277,0,0,0.06274812,31.37406
0.104,0,0,0.51719,0,0,4.441842,0,0,0.06718998,33.59499
0.105,0,0,0.5215479,0,0,4.357854,0,0,0.07154785,35.77393
0.106,0,0,0.5258163,0,0,4.268419,0,0,0.07581626,37.90813
0.107,0,0,0.5299899,0,0,4.173649,0,0,0.0799899,39.99495
0.108,0,0,0.5340636,0,0,4.073661,0,0,0.08406357,42.03179
0.109,0,0,0.5380322,0,0,3.968582,0,0,0.08803217,44.01609
0.11,0,0,0.5418907,0,0,3.858542,0,0,0.09189074,45.94537
0.111,0,0,0.5456344,0,0,3.743678,0,0,0.09563445,47.81722
0.112,0,0,0.5492586,0,0,3.624135,0,0,0.09925859,49.62929
0.113,0,0,0.5527586,0,0,3.500062,0,0,0.1027586,51.37931
0.114,0,0,0.5561302,0,0,3.371614,0,0,0.1061302,53.06511
0.115,0,0,0.5593692,0,0,3.238951,0,0,0.1093692,54.6846
0.116,0,0,0.5624714,0,0,3.102239,0,0,0.1124714,56.23572
0.117,0,0,0.5654331,0,0,2.96165,0,0,0.1154331,57.71654
0.118,0,0,0.5682504,0,0,2.817359,0,0,0.1182504,59.12521
0.119,0,0,0.57092,0,0,2.669546,0,0,0.12092,60.46
0.12,0,0,0.5734384,0,0,2.518396,0,0,0.1234384,61.7192
0.121,0,0,0.5758025,0,0,2.364098,0,0,0.1258025,62.90125
0.122,0,0,0.5780094,0,0,2.206845,0,0,0.1280094,64.00468
0.123,0,0,0.5800562,0,0,2.046833,0,0,0.1300562,65.02809
0.124,0,0,0.5819405,0,0,1.884263,0,0,0.1319405,65.97024
0.125,0,0,0.5836598,0,0,1.719337,0,0,0.1336598,66.82991
0.126,0,0,0.5852121,0,0,1.552262,0,0,0.1352121,67.60606
0.127,0,0,0.5865954,0,0,1.383247,0,0,0.1365954,68.29768
0.128,0,0,0.5878078,0,0,1.212503,0,0,0.1378078,68.90392
0.129,0,0,0.5888481,0,0,1.040243,0,0,0.1388481,69.42403
0.13,0,0,0.5897148,0,0,0.8666829,0,0,0.1397148,69.85738
0.131,0,0,0.5904068,0,0,0.6920395,0,0,0.1404068,70.20338
0.132,0,0,0.5909233,0,0,0.5165311,0,0,0.1409233,70.46165
0.133,0,0,0.5912637,0,0,0.3403769,0,0,0.1412637,70.63185
0.134,0,0,0.5914275,0,0,0.1637973,0,0,0.1414275,70.71375
0.135,0,0,0.5914145,0,0,-0.01298709,0,0,0.1414145,70.70725
0.136,0,0,0.5912247,0,0,-0.1897552,0,0,0.1412247,70.61237
0.137,0,0,0.5908585,0,0,-0.3662862,0,0,0.1408585,70.42923
0.138,0,0,0.5903161,0,0,-0.5423592,0,0,0.1403161,70.15806
0.139,0,0,0.5895984,0,0,-0.7177544,0,0,0.1395984,69.79918
0.14,0,0,0.5887061,0,0,-0.8922523,0,0,0.1387061,69.35303
0.141,0,0,0.5876405,0,0,-1.065635,0,0,0.1376405,68.82023
0.142,0,0,0.5864028,0,0,-1.237686,0,0,0.1364028,68.20139
0.143,0,0,0.5849946,0,0,-1.408189,0,0,0.1349946,67.49731
0.144,0,0,0.5834177,0,0,-1.576932,0,0,0.1334177,66.70882
0.145,0,0,0.5816739,0,0,-1.743704,0,0,0.1316739,65.83696
0.146,0,0,0.5797656,0,0,-1.908297,0,0,0.1297656,64.8828
0.147,0,0,0.5776951,0,0,-2.070504,0,0,0.1276951,63.84756
0.148,0,0,0.575465,0,0,-2.230123,0,0,0.125465,62.73251
0.149,0,0,0.5730781,0,0,-2.386954,0,0,0.1230781,61.53905
0.15,0,0,0.5705373,0,0,-2.540802,0,0,0.1205373,60.26863
0.151,0,0,0.5678458,0,0,-2.691473,0,0,0.1178458,58.92291
0.152,0,0,0.565007,0,0,-2.83878,0,0,0.115007,57.50351
0.153,0,0,0.5620245,0,0,-2.982539,0,0,0.1120245,56.01223
0.154,0,0,0.5589019,0,0,-3.12257,0,0,0.1089019,54.45095
0.155,0,0,0.5556432,0,0,-3.258697,0,0,0.1056432,52.8216
0.156,0,0,0.5522525,0,0,-3.390751,0,0,0.1022525,51.12624
