song_name,artist_name,genre
Intro chiante,David TMX,"punkrock;"
Aide toi...,David TMX,"metal;"
Une charogne,David TMX,"metal;"
Aimons nous...,David TMX,"punkrock;"
Jouvencelle,David TMX,"punkrock;"
L'homme pouce,David TMX,"metal;"
Y'a un truc,David TMX,"punkrock;"
LVO Hardcore,David TMX,"punkrock;"
Que du naturel,David TMX,"punkrock;"
Voici le gala,David TMX,"metal;"
Croquemitaine,David TMX,"punkrock;"
Histoire de grouin,David TMX,"punkrock;"
JLP vs momomatic,David TMX,"metal;"
Légionnaire zoophile,David TMX,"metal;"
La frontière,David TMX,"metal;"
Headbanger,David TMX,"metal;"
Noxious,David TMX,"metal;"
Ralalalatouf,David TMX,"metal;"
Simple Exercice,Both,"rock;"
Réveille le Hippie,Both,"rock;"
The Monster,Both,"rock;"
Qui Déchante,Both,"rock;"
J.E.T. Apostrophe A.I.M.E,Both,"rock;"
Take Up Arms,Both,"rock;"
Je le veux aussi,Both,"pop;rock;"
Soon and Very Soon (Negro Spiritual),Les Petits Chanteurs de Montigny,"classical;"
Go tell it on the mountain (Negro Spiritual),Les Petits Chanteurs de Montigny,"classical;"
Let us break bread (Negro Spiritual),Les Petits Chanteurs de Montigny,"classical;"
Ave Maria (Sylvain Zimmer),Les Petits Chanteurs de Montigny,"classical;"
Cantate Domino (Johann Crüger),Les Petits Chanteurs de Montigny,"classical;"
Cantique de Jean Racine (Gabriel Fauré),Les Petits Chanteurs de Montigny,"classical;"
Jubilemus Exultemus (François Couperin),Les Petits Chanteurs de Montigny,"classical;"
Nocturnes (W.A. Mozart),Les Petits Chanteurs de Montigny,"classical;"
Psaume 61 (Joseph Haydn),Les Petits Chanteurs de Montigny,"classical;"
Cantate Domino (G.O. Pitoni),Les Petits Chanteurs de Montigny,"classical;"
Messe à 3 voix (Antonio Lotti),Les Petits Chanteurs de Montigny,"classical;"
O bone Jesu (C.G. Reissiger),Les Petits Chanteurs de Montigny,"classical;"
Alma Redemptoris Mater (G.P. da Palestrina),Les Petits Chanteurs de Montigny,"classical;"
L'immensité du firmament (Benedetto Marcello),Les Petits Chanteurs de Montigny,"classical;"
Sunlight,Vavrek,"pop;"
World that you know,Vavrek,"pop;"
Modern Life,Vavrek,"pop;"
Healing Luna,Vavrek,"pop;"
Dance,Vavrek,"pop;"
Peace on earth,Vavrek,"pop;"
Bedtime,Vavrek,"pop;"
Balance,Vavrek,"pop;popfolk;"
Once Again,Vavrek,"pop;"
School,Vavrek,"pop;"
You are,Vavrek,"pop;"
People to the Power,Vavrek,"pop;"
Golden Leaves,Vavrek,"pop;"
Journey's End,Vavrek,"pop;"
The Final Rewind,Tryad,"electronic;"
I see,Tryad,"electronic;"
Seduction,Tryad,"easylistening;electronic;lounge;"
Our Lives change,Tryad,"electronic;"
Seven Months,AMPM,"pop;rock;"
Silver Spoon,AMPM,"pop;rock;"
Say me Good Bye,AMPM,"pop;rock;"
Perdre le Nord,AMPM,"pop;rock;"
Politique d'autruche,AMPM,"pop;rock;"
La Kiffonisation est en marche,Kiff'On,"disco;funk;pop;rnb;"
Né Funky,Kiff'On,"disco;funk;pop;rnb;"
