filename,song_name,artist,genre
Answer_-_Square_a_Saw_spectrogram.png,Answer,Square a Saw,Rock
A_Common_Tale_-_Radio_Star_spectrogram.png,A Common Tale,Radio Star,Pop
Aminolen_-_Tears_spectrogram.png,Aminolen,Tears,Electronic
Asa_Taura_-_Guides_Song_II_spectrogram.png,Asa Taura,Guides Song II,Folk
Anomaly_Villain_-_MaC_Asylum_spectrogram.png,Anomaly Villain,MaC Asylum,Hip-Hop
Acid_(Redux)_-_The_Devil_Music_Co._(2)_spectrogram.png,Acid (Redux),The Devil Music Co. (2),Rock
(I_Don't_Even)_Need_Your_Love_-_Chalk_CIty_spectrogram.png,(I Don't Even) Need Your Love,Chalk CIty,Rock
All_I_Know_-_NF_GS (1)_spectrogram.png,All I Know,NF GS (1),Hip-Hop
A_l'ancienne_-_DR_GROOVE_GANG_spectrogram.png,A l'ancienne,DR GROOVE GANG,Groove
All_The_Best_-_EJAY_IVAN_LAC_spectrogram.png,All The Best,EJAY IVAN LAC,Electronic
Alone_Tonight_-_kydbrown_spectrogram.png,Alone Tonight,kydbrown,Pop
Anyway_-_the.madpix.project_spectrogram.png,Anyway,the.madpix.project,Electronic
All_Novels_-_HonH_spectrogram.png,All Novels,HonH,Pop
06_Space_dolphins_-_Botanica_magia_spectrogram.png,06 Space dolphins,Botanica magia,Ambient
2Inventions_-_0db_-_Adelaide_(8f_Remaster)_spectrogram.png,2Inventions - 0db,Adelaide (8f Remaster),Electronic
A_Lonely_Road_-_Caleb_Lemond (1)_spectrogram.png,A Lonely Road,Caleb Lemond (1),Folk
"30,000_Miles_-_Semme_Automatic_(2)_spectrogram.png","30,000 Miles",Semme Automatic (2),Hip-Hop
Ambient_Harp_-_Raw_Vibrations_spectrogram.png,Ambient Harp,Raw Vibrations,Ambient
Astronauts_-_Parker_spectrogram.png,Astronauts,Parker,Indie
africa_-_alessandro_ricci_(2)_spectrogram.png,africa,alessandro ricci (2),World
A_Break_in_the_Clouds_-_PNFA_spectrogram.png,A Break in the Clouds,PNFA,Electronic
Ambient_Meditation_-_YellowTea_spectrogram.png,Ambient Meditation,YellowTea,Ambient
Arom_-_Picture_spectrogram.png,Arom,Picture,Pop
Alexiaction_-_Meditation_spectrogram.png,Alexiaction,Meditation,Ambient
An_Empty_Room_-_Caleb_Lemond_spectrogram.png,An Empty Room,Caleb Lemond,Folk
Always_-_THE_DLX (2)_spectrogram.png,Always,THE DLX (2),Pop
Ambient_Relax_Meditation_-_DmitriyTaras_(2)_spectrogram.png,Ambient Relax Meditation,DmitriyTaras (2),Ambient
As_The_Sky_Opens_Below_Me_-_Tonepoet_spectrogram.png,As The Sky Opens Below Me,Tonepoet,Ambient
Always_-_THE_DLX_spectrogram.png,Always,THE DLX,Pop
03_Double_dream_-_Botanica_magia (1)_spectrogram.png,03 Double dream,Botanica magia (1),Ambient
12_Clear_water_-_Botanica_magia_spectrogram.png,12 Clear water,Botanica magia,Ambient
African_Safari_-_Alexiaction_spectrogram.png,African Safari,Alexiaction,World
Arna_Maeve_-_Use_spectrogram.png,Arna Maeve,Use,Pop
3AM_-_the.madpix.project_spectrogram.png,3AM,the.madpix.project,Electronic
All_I_Want_-_Esteban_Campbell (1)_spectrogram.png,All I Want,Esteban Campbell (1),Pop
ARMA_-_Speaker_System_spectrogram.png,ARMA,Speaker System,Electronic
Acrylic_-_Michael_Ellis_spectrogram.png,Acrylic,Michael Ellis,Pop
Alex_Davletshin_-_Prelude_in_C (1)_spectrogram.png,Alex Davletshin,Prelude in C (1),Classical
Alone_-_Saint_Rel_(2)_spectrogram.png,Alone,Saint Rel (2),Electronic
20th_November_1983_-_Hawk_spectrogram.png,20th November 1983,Hawk,Rock
Amnesia_-_SloUCobra_a.k.a._Umberto_spectrogram.png,Amnesia,SloUCobra a.k.a. Umberto,Electronic
Arna_Maeve_-_Use (1)_spectrogram.png,Arna Maeve,Use (1),Pop
As_The_Sky_Opens_Below_Me_-_Tonepoet (1)_spectrogram.png,As The Sky Opens Below Me,Tonepoet (1),Ambient
Acceptance_-_Evgenia_Kostitsyna_spectrogram.png,Acceptance,Evgenia Kostitsyna,Classical
A_Lonely_Road_-_Caleb_Lemond_spectrogram.png,A Lonely Road,Caleb Lemond,Folk
African_Mbira_with_Percussion_-_AkashicRecords_spectrogram.png,African Mbira with Percussion,AkashicRecords,World
Amina_-_P_Steve_Officiel_(3)_spectrogram.png,Amina,P Steve Officiel (3),World
06_Space_dolphins_-_Botanica_magia (1)_spectrogram.png,06 Space dolphins,Botanica magia (1),Ambient
As_I_Am_-_joshwoodward_spectrogram.png,As I Am,joshwoodward,Folk
Always_-_THE_DLX (3)_spectrogram.png,Always,THE DLX (3),Pop
Astray_-_EGOR_BUDENNYY_spectrogram.png,Astray,EGOR BUDENNYY,Electronic
alessandro_simonetto_satie_early_and_esoteric_works_i_09_trois_gnossiennes_i._lent_-_Aleksandra_Mikulska_spectrogram.png,alessandro simonetto satie early and esoteric works i 09 trois gnossiennes i. lent,Aleksandra Mikulska,Classical
01-_Luminiscencia_-_Helen_amp_Shanna_(2)_spectrogram.png,01- Luminiscencia,Helen amp Shanna (2),Electronic
All_My_Love_In_Vain_-_Hot_Fiction_spectrogram.png,All My Love In Vain,Hot Fiction,Rock
A_Step_Closer_To_Your_Room_-_Ping_Pong_Club_spectrogram.png,A Step Closer To Your Room,Ping Pong Club,Indie
Always_-_THE_DLX (1)_spectrogram.png,Always,THE DLX (1),Pop
Ashot_Danielyan_Composer_-_Airy_Morning_(Meditative_Relaxing) (1)_spectrogram.png,Ashot Danielyan Composer,Airy Morning (Meditative Relaxing) (1),Ambient
03_Double_dream_-_Botanica_magia_spectrogram.png,03 Double dream,Botanica magia,Ambient
Alexiaction_-_Meditation (1)_spectrogram.png,Alexiaction,Meditation (1),Ambient
Anitek_-_TimesUp_feat._Tab_spectrogram.png,Anitek,TimesUp feat. Tab,Hip-Hop
Abigail_Christine_Hill_-_Backstabber_spectrogram.png,Abigail Christine Hill,Backstabber,Pop
A_l'ancienne_-_DR_GROOVE_GANG (1)_spectrogram.png,A l'ancienne,DR GROOVE GANG (1),Groove
Alex_Davletshin_-_Prelude_in_C_spectrogram.png,Alex Davletshin,Prelude in C,Classical
Ashot_Danielyan_Composer_-_Airy_Day_In_Colombo_(Meditative_Relaxing)_spectrogram.png,Ashot Danielyan Composer,Airy Day In Colombo (Meditative Relaxing),Ambient
09-Puppa_Nadem_feat_Jamanle_-_La_Technique_-_Selecta_Dje_aka_ProphetDje_spectrogram.png,09-Puppa Nadem feat Jamanle - La Technique,Selecta Dje aka ProphetDje,Reggae
100%_Housegemacht_-_DJ_Soulblade_spectrogram.png,100% Housegemacht,DJ Soulblade,House
4anewbegining_(Psy)_-_xl.ant_spectrogram.png,4anewbegining (Psy),xl.ant,Psytrance
5_O_clock_High_-_Kinematic_spectrogram.png,5 O clock High,Kinematic,Indie Rock
Aching_-_Alles_spectrogram.png,Aching,Alles,Alternative
Africa_The_Cradle_of_Life_(Epic_Version)_-_gregoire.lourme_spectrogram.png,Africa The Cradle of Life (Epic Version),gregoire.lourme,Epic
Agharta_-_Vince_van_Soth_spectrogram.png,Agharta,Vince van Soth,Jazz
Amor_Pletórico_-_Living_Camboya_spectrogram.png,Amor Pletórico,Living Camboya,Latin
ARVIVAL_-_Sunset_Cafe_spectrogram.png,ARVIVAL,Sunset Cafe,Chill
"Ashot_Danielyan_Composer_-_Be_My_Sunshine_(Piano_Solo)_-_Cinematic,_Soundtrack,_Romantic,_Sentimental_spectrogram.png",Ashot Danielyan Composer - Be My Sunshine (Piano Solo)," Cinematic, Soundtrack, Romantic, Sentimental",Cinematic
Atmospheric_Chill_-_Lart_spectrogram.png,Atmospheric Chill,Lart,Chill
AVANT-BEATS_-_Chillhop_spectrogram.png,AVANT-BEATS,Chillhop,Chillhop
A_Night_Just_Like_Tonight_-_Lawrence_Beamen_spectrogram.png,A Night Just Like Tonight,Lawrence Beamen,Jazz
