filename,song_name,artist,genre
(I_Don't_Even)_Need_Your_Love_-_Chalk_CIty_spectrogram.png,(I Don't Even) Need Your Love,Chalk CIty,Rock
01-_Luminiscencia_-_Helen_amp_Shanna_(2)_spectrogram.png,01- Luminiscencia,Helen amp Shanna (2),Electronic
03_Double_dream_-_Botanica_magia (1)_spectrogram.png,03 Double dream,Botanica magia (1),Ambient
03_Double_dream_-_Botanica_magia_spectrogram.png,03 Double dream,Botanica magia,Ambient
06_Space_dolphins_-_Botanica_magia (1)_spectrogram.png,06 Space dolphins,Botanica magia (1),Ambient
06_Space_dolphins_-_Botanica_magia_spectrogram.png,06 Space dolphins,Botanica magia,Ambient
09-Puppa_Nadem_feat_Jamanle_-_La_Technique_-_Selecta_Dje_aka_ProphetDje_spectrogram.png,09-Puppa Nadem feat Jamanle - La Technique,Selecta Dje aka ProphetDje,Reggae
1._B-eiger_-_Happy!_-_B-eiger_spectrogram.png,"1. B-eiger - Happy! - B,eiger",Pop
10-Welan_Edvee_-_E.R.P.L.V_-_Welan_Edvee_(3)_spectrogram.png,10-Welan Edvee - E.R.P.L.V,Welan Edvee (3),Electronic
100%_Housegemacht_-_DJ_Soulblade_spectrogram.png,100% Housegemacht,DJ Soulblade,House
12_Clear_water_-_Botanica_magia_spectrogram.png,12 Clear water,Botanica magia,Ambient
20th_November_1983_-_Hawk_spectrogram.png,20th November 1983,Hawk,Rock
2Inventions_-_0db_-_Adelaide_(8f_Remaster)_spectrogram.png,2Inventions - 0db,Adelaide (8f Remaster),Electronic
"30,000_Miles_-_Semme_Automatic_(2)_spectrogram.png","30,000 Miles",Semme Automatic (2),Hip-Hop
3AM_-_the.madpix.project_spectrogram.png,3AM,the.madpix.project,Electronic
4anewbegining_(Psy)_-_xl.ant_spectrogram.png,4anewbegining (Psy),xl.ant,Psytrance
5_O_clock_High_-_Kinematic_spectrogram.png,5 O clock High,Kinematic,Indie Rock
Abigail_Christine_Hill_-_Backstabber_spectrogram.png,Abigail Christine Hill,Backstabber,Pop
