filename,song_title,artist,genre
If_I_Was_-_Kavi_Jezzie_Hockaday_spectrogram.png,If I Was,Kavi Jezzie Hockaday,Folk / Acoustic
Maybe_Its_Alright_-_Pure_Mids_spectrogram.png,Maybe Its Alright,Pure Mids,Indie Pop
Always_-_THE_DLX (3)_spectrogram.png,Always,THE DLX (3),Pop
Zaranka_-_Space_Jam_spectrogram.png,Zaranka,Space Jam,Electronic
Nuvole_di_pensieri_-_Matteo_Maria_Di_Tommaso_spectrogram.png,Nuvole di pensieri,Matteo Maria Di Tommaso,Instrumental
Manfred_Merkel_-_Brighter_Than_The_Sky_spectrogram.png,Manfred Merkel,Brighter Than The Sky,Pop
Reflection_-_The_Hedgerow_Folk_spectrogram.png,Reflection,The Hedgerow Folk,Folk
Complimenti_-_Shiva_(2)_spectrogram.png,Complimenti,Shiva (2),Pop
Rising_Bones_-_Mr._Rock (1)_spectrogram.png,Rising Bones,Mr. Rock (1),Rock
Éclats_de_Vers_-_Rhumantik (2)_spectrogram.png,Éclats de Vers,Rhumantik (2),Pop
Out_Of_The_Blue_-_Explosive_Ear_Candy_spectrogram.png,Out Of The Blue,Explosive Ear Candy,Pop Rock
Marigold_-_Sonic_Wash_spectrogram.png,Marigold,Sonic Wash,Alternative Rock
Danny_Van_Taurus_-_Dark_flow_-_Danny_Van_Taurus_spectrogram.png,Danny Van Taurus - Dark flow,Danny Van Taurus,Deep House
Do_You_Remember_-_GrayMic_spectrogram.png,Do You Remember,GrayMic,Lo-fi
Bad_Impression_-_West_Coast_Weekend_spectrogram.png,Bad Impression,West Coast Weekend,Indie Rock
Cheat_On_Life_-_The_Spin_Wires_(2)_spectrogram.png,Cheat On Life,The Spin Wires (2),Punk Rock
On_My_Way_-_Kavi_Jezzie_Hockaday_spectrogram.png,On My Way,Kavi Jezzie Hockaday,Folk / Acoustic
Hello_My_Future_Girlfriend_-_Final_Round (2)_spectrogram.png,Hello My Future Girlfriend,Final Round (2),Pop
Day_Ams_-_Soltero_Ft_Milver_L_(Prod_by_Gblobal_Entertainment)_-_Day_Ams_spectrogram.png,Day Ams - Soltero Ft Milver L (Prod by Gblobal Entertainment),Day Ams,Latin
Kentix_-_Nos_vies_-_Kentix_spectrogram.png,Kentix - Nos vies,Kentix,Pop
The_Vow_-_Spread_Some_Love_spectrogram.png,The Vow,Spread Some Love,Pop
Filename,Song Title,Artist,Genre
Chains_-_Lower_Loveday_spectrogram.png,Chains,Lower Loveday,Indie Rock
Alone_-_Saint_Rel_(2)_spectrogram.png,Alone,Saint Rel (2),Electronic
Acceptance_-_Evgenia_Kostitsyna_spectrogram.png,Acceptance,Evgenia Kostitsyna,Instrumental / Ambient
Loud.drop_-_Loud.drop_-_Real_spectrogram.png,Loud.drop - Loud.drop,Real,Electronic
Leave_me_now_-_november11_spectrogram.png,Leave me now,november11,Electronic
Love_You_More_-_Kavi_Jezzie_Hockaday_spectrogram.png,Love You More,Kavi Jezzie Hockaday,Folk / Acoustic
Stassia_-_Road_-_Stassia_spectrogram.png,Stassia - Road,Stassia,Pop
Encephalon_-_VITNE (1)_spectrogram.png,Encephalon,VITNE (1),Heavy Metal
I_dance_to_the_Jazz_of_the_50s_-_Aurbanni_spectrogram.png,I dance to the Jazz of the 50s,Aurbanni,Jazz
Shauna's_Theme_-_Jorgen_Kruse_spectrogram.png,Shauna's Theme,Jorgen Kruse,Instrumental / Ambient
Filename,Song Title,Artist,Genre
I_Know_Now_-_Xander_Black_spectrogram.png,I Know Now,Xander Black,Pop
Lofi_and_Coffee_-_Jon_J._Morin_spectrogram.png,Lofi and Coffee,Jon J. Morin,Lo-fi
Impression_-_MCKOOL_spectrogram.png,Impression,MCKOOL,Electronic
Can't_Dance_To_Your_Rhythm_-_Junk_Love_spectrogram.png,Can't Dance To Your Rhythm,Junk Love,Alternative Rock
Legends_-_FantomStudio_spectrogram.png,Legends,FantomStudio,Electronic
Waste_My_Time_-_The_Devil_Music_Co._(2)_spectrogram.png,Waste My Time,The Devil Music Co. (2),Rock
STUMP_IT_-_J_Bert_(2)_spectrogram.png,STUMP IT,J Bert (2),Electronic
Gold_Sequence_-_Movement_of_Life_(Original_Mix)_-_StockXL_spectrogram.png,Gold Sequence - Movement of Life (Original Mix),StockXL,Electronic
Revolving_Door_(feat.Lusty_Apricot_&_Elle_Rose)_-_Tab_(2) (1)_spectrogram.png,Revolving Door (feat.Lusty Apricot & Elle Rose),Tab (2) (1),Electronic
RIZA_music_-_Vertigo_spectrogram.png,RIZA music,Vertigo,Pop
Boulvard_X-Audi_-_Make_a_level_spectrogram.png,Boulvard X-Audi,Make a level,Electronic
Limitless_-_PaulWernerMusic_spectrogram.png,Limitless,PaulWernerMusic,Electronic
High_Hopes_-_Color_Out_spectrogram.png,High Hopes,Color Out,Rock
Stuttgart_-_Portrayal_spectrogram.png,Stuttgart,Portrayal,Indie Rock
Not_My_Problem_-_All_My_Friends_Hate_Me (1)_spectrogram.png,Not My Problem,All My Friends Hate Me (1),Indie Rock
Palmo_X_-_Forest_Runner_-_Palmo_X_spectrogram.png,Palmo X - Forest Runner,Palmo X,Electronic
How_Weird_It_Is..._(Original_Mix)_-_Sun_Spot_(3)_spectrogram.png,How Weird It Is... (Original Mix),Sun Spot (3),Electronic
Smooth_-_tomislav.ocvirek_spectrogram.png,Smooth,tomislav.ocvirek,Jazz
The_Cross_-_Mary_And_The_Ram_spectrogram.png,The Cross,Mary And The Ram,Alternative Rock
Esprit_de_l'arbre_2_-_francesco (1)_spectrogram.png,Esprit de l'arbre 2,francesco (1),Ambient
Gentle_Classical_Piano_Waltz_-_Raw_Vibrations_spectrogram.png,Gentle Classical Piano Waltz,Raw Vibrations,Classical / Piano
A_Lonely_Road_-_Caleb_Lemond_spectrogram.png,A Lonely Road,Caleb Lemond,Folk
The_Secret_-_Eliot_Feldman_spectrogram.png,The Secret,Eliot Feldman,Pop
Ballyhoo_-_Barefoot_McCoy_spectrogram.png,Ballyhoo,Barefoot McCoy,Folk / Acoustic
Imagine_That_(In_The_Morning)_-_Seth_Power_(2)_spectrogram.png,Imagine That (In The Morning),Seth Power (2),Pop
Body_Up_Dj_Wallace_-_dj_wallace_spectrogram.png,Body Up Dj Wallace,dj wallace,Electronic / Dance
Ogi_Feel_the_Beat_-_Tristeza_spectrogram.png,Ogi Feel the Beat,Tristeza,Electronic / Chill
Kentix_-_Kentix_-_Ça_Rend_Heureux_spectrogram.png,Kentix - Kentix,Ça Rend Heureux,Pop
Vinyl_Blast_-_Am_I_Free_-_Vinyl_Blast_spectrogram.png,Vinyl Blast - Am I Free,Vinyl Blast,Electronic
Forward._-_ERIKSON_spectrogram.png,Forward.,ERIKSON,Pop
Stacks_-_Wordsmith_spectrogram.png,Stacks,Wordsmith,Hip-Hop
