t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
0.001373291,0,0,0,0,0,1,0,0,0,0,-0.8,0
0.02139282,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0
0.04138184,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0
0.06140137,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0
0.08139038,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0
0.1013794,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0
0.1213989,0,0,0.12,0,0,1,0,0,0,0,-0.8,0
0.1413879,0,0,0.14,0,0,1,0,0,0,0,-0.8,0
0.161377,0,0,0.16,0,0,1,0,0,0,0,-0.8,0
0.1813965,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0
0.2013855,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0
0.2213745,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0
0.241394,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0
0.2613831,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0
0.2813721,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0
0.3013916,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0
0.3213806,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0
0.3414001,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0
0.3613892,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0
0.3813782,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0
0.4013977,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0
0.4213867,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0
0.4413757,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0
0.4613953,0,0,0.4599997,0,0,1,0,0,0.009999737,0.1999947,-0.8,0
0.4813843,0,0,0.4797997,0,0,0.9900002,0,0,0.02979974,0.5959949,-0.8,0
0.5013733,0,0,0.4990037,0,0,0.9602005,0,0,0.04900374,0.9800747,-0.8,0
0.5213928,0,0,0.5172276,0,0,0.9111968,0,0,0.06722765,1.344553,-0.8,0
0.5413818,0,0,0.534107,0,0,0.8439692,0,0,0.08410703,1.682141,-0.8,0
0.5614014,0,0,0.5493042,0,0,0.7598622,0,0,0.09930424,1.986085,-0.8,0
0.5813904,0,0,0.5625154,0,0,0.660558,0,0,0.1125154,2.250308,-0.8,0
0.6013794,0,0,0.5734763,0,0,0.5480427,0,0,0.1234763,2.469525,-0.8,0
0.6213989,0,0,0.5819676,0,0,0.4245664,0,0,0.1319676,2.639352,-0.8,0
0.6413879,0,0,0.5878196,0,0,0.2925989,0,0,0.1378196,2.756392,-0.8,0
0.661377,0,0,0.5909151,0,0,0.1547794,0,0,0.1409151,2.818303,-0.8,0
0.6813965,0,0,0.5911924,0,0,0.01386428,0,0,0.1411924,2.823848,-0.8,0
0.7013855,0,0,0.5886459,0,0,-0.1273281,0,0,0.1386459,2.772918,-0.8,0
0.7213745,0,0,0.5833264,0,0,-0.2659739,0,0,0.1333264,2.666528,-0.8,0
0.741394,0,0,0.5753404,0,0,-0.3993003,0,0,0.1253404,2.506808,-0.8,0
0.7613831,0,0,0.5648476,0,0,-0.5246406,0,0,0.1148476,2.296952,-0.8,0
0.7813721,0,0,0.5520578,0,0,-0.6394882,0,0,0.1020578,2.041156,-0.8,0
0.8013916,0,0,0.5372269,0,0,-0.7415459,0,0,0.08722691,1.744538,-0.8,0
0.8213806,0,0,0.5206515,0,0,-0.8287728,0,0,0.07065146,1.413029,-0.8,0
0.8414001,0,0,0.502663,0,0,-0.8994242,0,0,0.05266295,1.053259,-0.8,0
0.8613892,0,0,0.4836212,0,0,-0.9520871,0,0,0.03362121,0.6724241,-0.8,0
0.8813782,0,0,0.4639071,0,0,-0.9857083,0,0,0.01390706,0.2781412,-0.8,0
0.9013977,0,0,0.4439148,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9213867,0,0,0.4239225,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9413757,0,0,0.4039302,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9613953,0,0,0.3839379,0,0,-0.9996154,0,0,0,0,-0.8,0
0.9813843,0,0,0.3639456,0,0,-0.9996154,0,0,0,0,-0.8,0
1.001373,0,0,0.3439533,0,0,-0.9996154,0,0,0,0,-0.8,0
1.021393,0,0,0.323961,0,0,-0.9996154,0,0,0,0,-0.8,0
1.041382,0,0,0.3039687,0,0,-0.9996154,0,0,0,0,-0.8,0
1.061401,0,0,0.2839764,0,0,-0.9996154,0,0,0,0,-0.8,0
1.08139,0,0,0.2639841,0,0,-0.9996154,0,0,0,0,-0.8,0
1.101379,0,0,0.2439919,0,0,-0.9996154,0,0,0,0,-0.8,0
1.121399,0,0,0.2239996,0,0,-0.9996154,0,0,0,0,-0.8,0
1.141388,0,0,0.2040073,0,0,-0.9996154,0,0,0,0,-0.8,0
1.161377,0,0,0.184015,0,0,-0.9996154,0,0,0,0,-0.8,0
1.181396,0,0,0.1640227,0,0,-0.9996154,0,0,0,0,-0.8,0
1.201385,0,0,0.1440304,0,0,-0.9996154,0,0,0,0,-0.8,0
1.221375,0,0,0.1240381,0,0,-0.9996154,0,0,0,0,-0.8,0
1.241394,0,0,0.1040458,0,0,-0.9996154,0,0,0,0,-0.8,0
1.261383,0,0,0.08405349,0,0,-0.9996154,0,0,0,0,-0.8,0
1.281372,0,0,0.06406119,0,0,-0.9996154,0,0,0,0,-0.8,0
1.301392,0,0,0.0440689,0,0,-0.9996154,0,0,0,0,-0.8,0
1.321381,0,0,0.0240766,0,0,-0.9996154,0,0,0,0,-0.8,0
1.3414,0,0,0.004084297,0,0,-0.9996154,0,0,0,0,-0.8,0
1.361389,0,0,-0.015908,0,0,-0.9996154,0,0,0,0,-0.8,0
1.381378,0,0,-0.0359003,0,0,-0.9996154,0,0,0,0,-0.8,0
1.401398,0,0,-0.0558926,0,0,-0.9996154,0,0,0,0,-0.8,0
1.421387,0,0,-0.0758849,0,0,-0.9996154,0,0,0,0,-0.8,0
1.441376,0,0,-0.0958772,0,0,-0.9996154,0,0,0,0,-0.8,0
1.461395,0,0,-0.1158695,0,0,-0.9996154,0,0,0,0,-0.8,0
1.481384,0,0,-0.1358618,0,0,-0.9996154,0,0,0,0,-0.8,0
1.501373,0,0,-0.1558541,0,0,-0.9996154,0,0,0,0,-0.8,0
1.521393,0,0,-0.1758464,0,0,-0.9996154,0,0,0,0,-0.8,0
1.541382,0,0,-0.1958387,0,0,-0.9996154,0,0,0,0,-0.8,0
1.561401,0,0,-0.215831,0,0,-0.9996154,0,0,0,0,-0.8,0
1.58139,0,0,-0.2358233,0,0,-0.9996154,0,0,0,0,-0.8,0
1.601379,0,0,-0.2558156,0,0,-0.9996154,0,0,0,0,-0.8,0
1.621399,0,0,-0.2758079,0,0,-0.9996154,0,0,0,0,-0.8,0
1.641388,0,0,-0.2958001,0,0,-0.9996154,0,0,0,0,-0.8,0
1.661377,0,0,-0.3157924,0,0,-0.9996154,0,0,0,0,-0.8,0
1.681396,0,0,-0.3357847,0,0,-0.9996154,0,0,0,0,-0.8,0
1.701385,0,0,-0.355777,0,0,-0.9996154,0,0,0,0,-0.8,0
1.721375,0,0,-0.3757693,0,0,-0.9996154,0,0,0,0,-0.8,0
1.741394,0,0,-0.3957616,0,0,-0.9996154,0,0,0,0,-0.8,0
1.761383,0,0,-0.4157539,0,0,-0.9996154,0,0,0,0,-0.8,0
1.781372,0,0,-0.4357462,0,0,-0.9996154,0,0,0,0,-0.8,0
1.801392,0,0,-0.4557385,0,0,-0.9996154,0.005738482,0.1147696,0,0,-0.8,0
1.821381,0,0,-0.475616,0,0,-0.9938769,0.02561601,0.5123201,0,0,-0.8,0
1.8414,0,0,-0.4949812,0,0,-0.9682609,0.04498123,0.8996245,0,0,-0.8,0
1.861389,0,0,-0.5134468,0,0,-0.9232797,0.0634468,1.268936,0,0,-0.8,0
1.881378,0,0,-0.5306435,0,0,-0.8598329,0.08064346,1.612869,0,0,-0.8,0
1.901398,0,0,-0.5462273,0,0,-0.7791895,0.09622727,1.924546,0,0,-0.8,0
1.921387,0,0,-0.5598865,0,0,-0.6829623,0.1098865,2.19773,0,0,-0.8,0
1.941376,0,0,-0.571348,0,0,-0.5730758,0.121348,2.42696,0,0,-0.8,0
1.961395,0,0,-0.5803826,0,0,-0.4517279,0.1303826,2.607652,0,0,-0.8,0
1.981384,0,0,-0.5868095,0,0,-0.3213453,0.1368095,2.73619,0,0,-0.8,0
2.001373,0,0,-0.5905002,0,0,-0.1845359,0.1405002,2.810005,0,0,-0.8,0
2.021393,0,0,-0.591381,0,0,-0.04403567,0.141381,2.827619,0,0,-0.8,0
2.041382,0,0,-0.589434,0,0,0.09734523,0.139434,2.788681,0,0,-0.8,0
2.061401,0,0,-0.5846984,0,0,0.2367792,0.1346984,2.693969,0,0,-0.8,0
2.08139,0,0,-0.5772689,0,0,0.3714776,0.1272689,2.545378,0,0,-0.8,0
2.101379,0,0,-0.567294,0,0,0.4987465,0.117294,2.34588,0,0,-0.8,0
2.121399,0,0,-0.5549732,0,0,0.6160404,0.1049732,2.099464,0,0,-0.8,0
2.141388,0,0,-0.5405529,0,0,0.7210135,0.09055291,1.811058,0,0,-0.8,0
2.161377,0,0,-0.5243216,0,0,0.8115664,0.07432161,1.486432,0,0,-0.8,0
2.181396,0,0,-0.5066038,0,0,0.885888,0.05660383,1.132077,0,0,-0.8,0
2.201385,0,0,-0.487754,0,0,0.9424918,0.03775401,0.7550803,0,0,-0.8,0
2.221375,0,0,-0.4681491,0,0,0.9802458,0.01814909,0.3629819,0,0,-0.8,0
2.241394,0,0,-0.4481812,0,0,0.9983948,0,0,0,0,-0.8,0
2.261383,0,0,-0.4282133,0,0,0.9983948,0,0,0,0,-0.8,0
2.281372,0,0,-0.4082454,0,0,0.9983948,0,0,0,0,-0.8,0
2.301392,0,0,-0.3882776,0,0,0.9983948,0,0,0,0,-0.8,0
2.321381,0,0,-0.3683097,0,0,0.9983948,0,0,0,0,-0.8,0
2.3414,0,0,-0.3483418,0,0,0.9983948,0,0,0,0,-0.8,0
2.361389,0,0,-0.3283739,0,0,0.9983948,0,0,0,0,-0.8,0
2.381378,0,0,-0.308406,0,0,0.9983948,0,0,0,0,-0.8,0
2.401398,0,0,-0.2884381,0,0,0.9983948,0,0,0,0,-0.8,0
2.421387,0,0,-0.2684703,0,0,0.9983948,0,0,0,0,-0.8,0
2.441376,0,0,-0.2485024,0,0,0.9983948,0,0,0,0,-0.8,0
2.461395,0,0,-0.2285345,0,0,0.9983948,0,0,0,0,-0.8,0
2.481384,0,0,-0.2085666,0,0,0.9983948,0,0,0,0,-0.8,0
2.501373,0,0,-0.1885987,0,0,0.9983948,0,0,0,0,-0.8,0
2.521393,0,0,-0.1686308,0,0,0.9983948,0,0,0,0,-0.8,0
2.541382,0,0,-0.148663,0,0,0.9983948,0,0,0,0,-0.8,0
2.561401,0,0,-0.1286951,0,0,0.9983948,0,0,0,0,-0.8,0
2.58139,0,0,-0.1087272,0,0,0.9983948,0,0,0,0,-0.8,0
2.601379,0,0,-0.08875929,0,0,0.9983948,0,0,0,0,-0.8,0
2.621399,0,0,-0.0687914,0,0,0.9983948,0,0,0,0,-0.8,0
2.641388,0,0,-0.04882351,0,0,0.9983948,0,0,0,0,-0.8,0
2.661377,0,0,-0.02885562,0,0,0.9983948,0,0,0,0,-0.8,0
2.681396,0,0,-0.008887727,0,0,0.9983948,0,0,0,0,-0.8,0
2.701385,0,0,0.01108016,0,0,0.9983948,0,0,0,0,-0.8,0
2.721375,0,0,0.03104805,0,0,0.9983948,0,0,0,0,-0.8,0
2.741394,0,0,0.05101594,0,0,0.9983948,0,0,0,0,-0.8,0
2.761383,0,0,0.07098383,0,0,0.9983948,0,0,0,0,-0.8,0
2.781372,0,0,0.09095173,0,0,0.9983948,0,0,0,0,-0.8,0
2.801392,0,0,0.1109196,0,0,0.9983948,0,0,0,0,-0.8,0
2.821381,0,0,0.1308875,0,0,0.9983948,0,0,0,0,-0.8,0
2.8414,0,0,0.1508554,0,0,0.9983948,0,0,0,0,-0.8,0
2.861389,0,0,0.1708233,0,0,0.9983948,0,0,0,0,-0.8,0
2.881378,0,0,0.1907912,0,0,0.9983948,0,0,0,0,-0.8,0
2.901398,0,0,0.210759,0,0,0.9983948,0,0,0,0,-0.8,0
2.921387,0,0,0.2307269,0,0,0.9983948,0,0,0,0,-0.8,0
